成份代码,成份名称,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
00001.HK,长和,5.5831,2020-06-30,49.8000,1.1168,0.0000,0.0000,"1,920.4078","1,920.4078",38.5624,38.5624
00002.HK,中电控股,31.3930,2020-06-30,76.0000,0.6623,0.0000,0.0000,"1,920.1024","1,920.1024",25.2645,25.2645
00003.HK,香港中华煤气,28.8850,2020-06-30,12.0000,0.3344,0.0000,0.0000,"2,132.5566","2,132.5566",177.7130,177.7130
00004.HK,九龙仓集团,1.5091,2020-06-30,15.7600,-1.6230,0.0000,0.0000,480.5897,480.5897,30.4943,30.4943
00005.HK,汇丰控股,5.5411,2020-06-30,36.2000,0.4161,0.0000,0.0000,"7,490.2671","7,490.2671",206.9135,206.9135
00006.HK,电能实业,8.3727,2020-06-30,42.1500,-1.5187,0.0000,0.0000,899.5913,899.5913,21.3426,21.3426
00008.HK,电讯盈科,20.0520,2020-06-30,4.4200,0.0000,0.0000,0.0000,341.6500,341.6500,77.2964,77.2964
00010.HK,恒隆集团,5.6473,2020-06-30,18.0200,-0.2215,0.0000,0.0000,245.3636,245.3636,13.6162,13.6162
00011.HK,恒生银行,8.6641,2020-06-30,130.1000,0.0769,0.0000,0.0000,"2,487.3074","2,487.3074",19.1184,19.1184
00012.HK,恒基地产,9.3045,2020-06-30,29.4000,0.3413,0.0000,0.0000,"1,423.3678","1,423.3678",48.4139,48.4139
00014.HK,希慎兴业,4.1706,2020-06-30,24.8500,1.8443,0.0000,0.0000,258.9124,258.9124,10.4190,10.4190
00016.HK,新鸿基地产,8.6320,2020-06-30,98.9500,0.8151,0.0000,0.0000,"2,867.3536","2,867.3536",28.9778,28.9778
00017.HK,新世界发展,10.6154,2020-06-30,36.8000,0.1361,0.0000,0.0000,938.0750,938.0750,25.4912,25.4912
00019.HK,太古股份公司A,2.7992,2020-06-30,41.1000,0.4890,0.0000,0.0000,372.0397,372.0397,9.0521,9.0521
00023.HK,东亚银行,7.8280,2020-06-30,17.7000,1.2586,0.0000,0.0000,515.9167,515.9167,29.1478,29.1478
00027.HK,银河娱乐,26.8746,2020-06-30,52.7500,3.8386,0.0000,0.0000,"2,287.0800","2,287.0800",43.3570,43.3570
00059.HK,天誉置业,98.3915,2020-06-30,1.0000,-0.9901,0.0000,0.0000,79.3150,79.3150,79.3150,79.3150
00066.HK,港铁公司,18.9969,2020-06-30,40.1500,1.9036,0.0000,0.0000,"2,473.1031","2,473.1031",61.5966,61.5966
00069.HK,香格里拉(亚洲),7.2014,2020-06-30,6.6600,2.4615,0.0000,0.0000,238.7960,238.7960,35.8553,35.8553
00078.HK,REGAL INT'L,10.2158,2020-06-30,3.0600,1.3245,0.0000,0.0000,27.5027,27.5027,8.9878,8.9878
00081.HK,中国海外宏洋集团,5.9166,2020-06-30,4.3700,-0.2283,0.0000,0.0000,149.6008,149.6008,34.2336,34.2336
00083.HK,信和置业,7.2177,2020-06-30,9.7500,1.5625,0.0000,0.0000,686.9030,686.9030,70.4516,70.4516
00086.HK,新鸿基公司,5.9213,2020-06-30,3.0400,0.6623,0.0000,0.0000,60.5414,60.5414,19.9149,19.9149
00087.HK,太古股份公司B,1.5503,2020-06-30,7.3900,0.4076,0.0000,0.0000,220.3602,220.3602,29.8187,29.8187
00095.HK,绿景中国地产,-984.6142,2020-06-30,2.3500,-0.4237,0.0000,0.0000,119.0165,119.0165,50.6453,50.6453
00101.HK,恒隆地产,13.0965,2020-06-30,18.3600,0.6579,0.0000,0.0000,825.7811,825.7811,44.9772,44.9772
00116.HK,周生生,4.6702,2020-06-30,8.2100,1.2330,0.0000,0.0000,55.6173,55.6173,6.7743,6.7743
00119.HK,保利置业集团,3.4382,2020-06-30,2.3300,0.8658,0.0000,0.0000,85.3138,85.3138,36.6154,36.6154
00120.HK,COSMOPOL INT'L,――,2020-06-30,1.3100,-0.7576,0.0000,0.0000,77.1917,77.1917,58.9250,58.9250
00123.HK,越秀地产,6.3814,2020-06-30,1.3800,-0.7194,0.0000,0.0000,213.6555,213.6555,154.8228,154.8228
00135.HK,昆仑能源,8.0003,2020-06-30,5.0200,1.6194,0.0000,0.0000,434.6718,434.6718,86.5880,86.5880
00136.HK,恒腾网络,-35.5492,2020-06-30,0.1440,-2.7027,0.0000,0.0000,107.4408,107.4408,746.1167,746.1167
00142.HK,第一太平,4.2624,2020-06-30,1.4800,2.7778,0.0000,0.0000,64.3050,64.3050,43.4493,43.4493
00144.HK,招商局港口,7.7582,2020-06-30,9.1600,1.8910,0.0000,0.0000,315.9236,315.9236,34.4895,34.4895
00148.HK,建滔集团,8.4046,2020-06-30,20.1000,-0.9852,0.0000,0.0000,221.8534,221.8534,11.0375,11.0375
00151.HK,中国旺旺,12.6484,2020-06-30,5.8500,-1.6807,0.0000,0.0000,726.2883,726.2883,124.1518,124.1518
00152.HK,深圳国际,17.7834,2020-06-30,12.3400,2.1523,0.0000,0.0000,270.7677,270.7677,21.9423,21.9423
00165.HK,中国光大控股,15.6442,2020-06-30,11.2200,0.7181,0.0000,0.0000,189.0855,189.0855,16.8525,16.8525
00168.HK,青岛啤酒股份,38.5354,2020-06-30,57.5000,2.1314,0.0000,0.0000,376.6648,776.8151,6.5507,13.5098
00173.HK,嘉华国际,6.8906,2020-06-30,3.3400,0.9063,0.0000,0.0000,104.4076,104.4076,31.2597,31.2597
00175.HK,吉利汽车,44.9048,2020-06-30,12.2000,-0.6515,0.0000,0.0000,"1,197.1587","1,197.1587",98.1278,98.1278
00177.HK,江苏宁沪高速公路,12.1557,2020-06-30,9.0800,1.9080,0.0000,0.0000,110.9576,457.4275,12.2200,50.3775
00178.HK,莎莎国际,4.1144,2020-06-30,1.3000,6.5574,0.0000,0.0000,40.3415,40.3415,31.0319,31.0319
00179.HK,德昌电机控股,8.5422,2020-06-30,13.7400,-0.2903,0.0000,0.0000,124.0238,124.0238,9.0265,9.0265
00189.HK,东岳集团,12.1162,2020-06-30,3.1500,3.9604,0.0000,0.0000,66.5182,66.5182,21.1169,21.1169
00200.HK,新濠国际发展,16.5486,2020-06-30,15.0000,0.9421,0.0000,0.0000,227.1997,227.1997,15.1466,15.1466
00215.HK,和记电讯香港,6.6289,2020-06-30,1.2300,1.6529,0.0000,0.0000,59.2749,59.2749,48.1910,48.1910
00220.HK,统一企业中国,27.5707,2020-06-30,7.7200,1.1796,0.0000,0.0000,333.4526,333.4526,43.1933,43.1933
00241.HK,阿里健康,"-39,237.0742",2020-06-30,22.6000,-0.6593,0.0000,0.0000,"2,926.8039","2,926.8039",129.5046,129.5046
00242.HK,信德集团,6.2945,2020-06-30,2.8800,0.3484,0.0000,0.0000,87.0186,87.0186,30.2148,30.2148
00256.HK,冠城钟表珠宝,11.9296,2020-06-30,1.5500,0.6494,0.0000,0.0000,67.4543,67.4543,43.5189,43.5189
00257.HK,中国光大国际,22.7231,2020-06-30,4.0900,-0.2439,0.0000,0.0000,251.2477,251.2477,61.4298,61.4298
00267.HK,中信股份,28.8296,2020-06-30,7.2800,0.0000,0.0000,0.0000,"2,117.7711","2,117.7711",290.9026,290.9026
00268.HK,金蝶国际,379.6605,2020-06-30,18.0200,6.0000,0.0000,0.0000,600.2455,600.2455,33.3100,33.3100
00270.HK,粤海投资,19.2023,2020-06-30,13.3000,-2.2059,0.0000,0.0000,869.5303,869.5303,65.3782,65.3782
00272.HK,瑞安房地产,3.5199,2020-06-30,1.3000,2.3622,0.0000,0.0000,104.8088,104.8088,80.6222,80.6222
00285.HK,比亚迪电子,81.2813,2020-06-30,17.7400,-1.9890,0.0000,0.0000,399.7185,399.7185,22.5320,22.5320
00288.HK,万洲国际,-49.3393,2020-06-30,6.6400,1.8405,0.0000,0.0000,978.0438,978.0438,147.2958,147.2958
00291.HK,华润啤酒,89.0958,2020-06-30,43.2000,0.4651,0.0000,0.0000,"1,401.4844","1,401.4844",32.4418,32.4418
00293.HK,国泰航空,13.6361,2020-06-30,7.5000,0.2674,0.0000,0.0000,295.0383,295.0383,39.3384,39.3384
00297.HK,中化化肥,-9.2755,2020-06-30,0.6900,-5.4795,0.0000,0.0000,48.4687,48.4687,70.2446,70.2446
00302.HK,中手游,――,2020-06-30,3.5700,-1.9231,0.0000,0.0000,83.1864,83.1864,23.3015,23.3015
00303.HK,VTECH HOLDINGS,6.8983,2020-06-30,46.5500,2.6461,0.0000,0.0000,117.3661,117.3661,2.5213,2.5213
00308.HK,香港中旅,5.7198,2020-06-30,1.1000,2.8037,0.0000,0.0000,60.9030,60.9030,55.3663,55.3663
00315.HK,数码通电讯,8.7131,2020-06-30,4.1500,1.4670,0.0000,0.0000,46.5744,46.5744,11.2228,11.2228
00317.HK,中船防务,736.2787,2020-06-30,5.2000,0.0000,0.0000,0.0000,30.7877,73.5023,5.9207,14.1351
00322.HK,康师傅控股,23.5391,2020-06-30,12.0200,-0.3317,0.0000,0.0000,676.0032,676.0032,56.2399,56.2399
00323.HK,马鞍山钢铁股份,84.7214,2020-06-30,2.0800,0.0000,0.0000,0.0000,36.0449,160.1742,17.3293,77.0068
00327.HK,百富环球,23.9790,2020-06-30,3.3700,-0.8824,0.0000,0.0000,36.5508,36.5508,10.8459,10.8459
00336.HK,华宝国际,11.5366,2020-06-30,3.4000,10.0324,0.0000,0.0000,105.6665,105.6665,31.0784,31.0784
00337.HK,绿地香港,166.6348,2020-06-30,2.7400,1.1070,0.0000,0.0000,76.4976,76.4976,27.9188,27.9188
00338.HK,上海石油化工股份,7.2458,2020-06-30,1.8600,0.0000,0.0000,0.0000,65.0070,201.3229,34.9500,108.2381
00341.HK,大家乐集团,17.5148,2020-06-30,16.0400,2.6889,0.0000,0.0000,93.9469,93.9469,5.8570,5.8570
00345.HK,VITASOY INT'L,96.3195,2020-06-30,29.6500,-0.8361,0.0000,0.0000,315.4296,315.4296,10.6384,10.6384
00347.HK,鞍钢股份,21.6079,2020-06-30,1.8900,2.7174,0.0000,0.0000,26.6781,177.7592,14.1154,94.0525
00354.HK,中国软件国际,74.6958,2020-06-30,4.2400,-0.2353,0.0000,0.0000,111.2876,111.2876,26.2471,26.2471
00358.HK,江西铜业股份,7.2127,2020-06-30,7.8100,2.7632,0.0000,0.0000,108.3623,270.4392,13.8748,34.6273
00363.HK,上海实业控股,4.7875,2020-06-30,11.9200,0.6757,0.0000,0.0000,129.5956,129.5956,10.8721,10.8721
00371.HK,北控水务集团,29.9456,2020-06-30,3.0200,0.0000,0.0000,0.0000,302.6401,302.6401,100.2120,100.2120
00384.HK,中国燃气,46.4006,2020-06-30,23.9000,-3.4343,0.0000,0.0000,"1,247.2366","1,247.2366",52.1856,52.1856
00386.HK,中国石油化工股份,5.0667,2020-06-30,3.2300,-1.2232,0.0000,0.0000,824.0841,"3,910.6001",255.1344,"1,210.7121"
00388.HK,香港交易所,104.8361,2020-06-30,330.0000,3.1250,0.0000,0.0000,"4,183.8618","4,183.8618",12.6784,12.6784
00390.HK,中国中铁,8.5731,2020-06-30,3.9800,0.2519,0.0000,0.0000,167.4541,977.9230,42.0739,245.7093
00392.HK,北京控股,7.8428,2020-06-30,25.9000,0.0000,0.0000,0.0000,326.8718,326.8718,12.6205,12.6205
00405.HK,越秀房产信托基金,――,2020-06-30,3.5300,-0.8427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00410.HK,SOHO中国,1.4221,2020-06-30,2.7200,-1.8051,0.0000,0.0000,141.4271,141.4271,51.9952,51.9952
00425.HK,敏实集团,22.6530,2020-06-30,22.0500,1.8476,0.0000,0.0000,253.8548,253.8548,11.5127,11.5127
00435.HK,阳光房地产基金,――,2020-06-30,3.8500,0.7853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00440.HK,大新金融,4.7452,2020-06-30,21.7000,-0.9132,0.0000,0.0000,69.3478,69.3478,3.1958,3.1958
00451.HK,协鑫新能源,-16.9161,2020-06-30,0.1100,1.8519,0.0000,0.0000,20.9811,20.9811,190.7372,190.7372
00460.HK,四环医药,5.8829,2020-06-30,0.7400,-2.6316,0.0000,0.0000,70.0460,70.0460,94.6568,94.6568
00467.HK,联合能源集团,29.1992,2020-06-30,1.4000,-0.7092,0.0000,0.0000,367.8901,367.8901,262.7786,262.7786
00468.HK,纷美包装,10.4695,2020-06-30,2.7400,0.7353,0.0000,0.0000,36.6343,36.6343,13.3702,13.3702
00486.HK,俄铝,-1.9168,2020-06-30,2.9600,2.7778,0.0000,0.0000,449.7132,449.7132,151.9301,151.9301
00489.HK,东风集团股份,3.5325,2020-06-30,4.6300,-1.2793,0.0000,0.0000,132.2204,398.9264,28.5573,86.1612
00493.HK,国美零售,23.1694,2020-06-30,1.2900,-6.5217,0.0000,0.0000,278.0934,278.0934,215.5763,215.5763
00496.HK,卡森国际,6.2299,2020-06-30,0.9700,-1.0204,0.0000,0.0000,14.4883,14.4883,14.9364,14.9364
00506.HK,中国食品,-9.0240,2020-06-30,2.9400,2.7972,0.0000,0.0000,82.2384,82.2384,27.9722,27.9722
00512.HK,远大医药,266.4191,2020-06-30,5.4400,3.6190,0.0000,0.0000,183.7399,183.7399,33.7757,33.7757
00520.HK,呷哺呷哺,50.3405,2020-06-30,7.6400,5.3793,0.0000,0.0000,82.6307,82.6307,10.8155,10.8155
00522.HK,ASM PACIFIC,62.4043,2020-06-30,81.3500,-0.4284,0.0000,0.0000,332.6365,332.6365,4.0890,4.0890
00525.HK,广深铁路股份,6.9516,2020-06-30,1.4500,0.6944,0.0000,0.0000,20.7539,102.7113,14.3130,70.8354
00535.HK,金地商置,103.4641,2020-06-30,1.4300,5.1471,0.0000,0.0000,235.4966,235.4966,164.6829,164.6829
00546.HK,阜丰集团,10.5479,2020-06-30,2.4700,-1.2000,0.0000,0.0000,62.5809,62.5809,25.3364,25.3364
00548.HK,深圳高速公路股份,18.0109,2020-06-30,7.8400,3.2802,0.0000,0.0000,58.6040,170.9724,7.4750,21.8077
00551.HK,裕元集团,5.8339,2020-06-30,11.7800,0.8562,0.0000,0.0000,189.9153,189.9153,16.1218,16.1218
00552.HK,中国通信服务,12.3343,2020-06-30,4.8200,-0.7414,0.0000,0.0000,115.2665,333.8341,23.9142,69.2602
00563.HK,上实城市开发,30.1503,2020-06-30,0.8900,-5.3191,0.0000,0.0000,42.7763,42.7763,48.0632,48.0632
00570.HK,中国中药,73.2158,2020-06-30,3.7400,6.8571,0.0000,0.0000,188.3390,188.3390,50.3580,50.3580
00576.HK,浙江沪杭甬,10.0070,2020-06-30,5.4800,-3.5211,0.0000,0.0000,78.5752,238.0027,14.3385,43.4311
00581.HK,中国东方集团,68.2666,2020-06-30,2.1100,-0.9390,0.0000,0.0000,78.5462,78.5462,37.2257,37.2257
00582.HK,蓝鼎国际,-6.3172,2020-06-30,0.2490,3.3195,0.0000,0.0000,8.7695,8.7695,35.2188,35.2188
00586.HK,海螺创业,26.0725,2020-06-30,32.7000,-0.1527,0.0000,0.0000,590.1533,590.1533,18.0475,18.0475
00590.HK,六福集团,5.5470,2020-06-30,16.7800,2.6928,0.0000,0.0000,98.5167,98.5167,5.8711,5.8711
00598.HK,中国外运,11.3693,2020-06-30,1.5700,1.2903,0.0000,0.0000,33.6747,116.1926,21.4489,74.0080
00604.HK,深圳控股,8.4825,2020-06-30,2.4500,3.8136,0.0000,0.0000,216.4192,216.4192,88.3344,88.3344
00607.HK,丰盛控股,-10.7027,2020-06-30,0.1410,0.0000,0.0000,0.0000,27.7846,27.7846,197.0539,197.0539
00631.HK,三一国际,26.1693,2020-06-30,3.5900,1.9886,0.0000,0.0000,111.7146,111.7146,31.1183,31.1183
00636.HK,嘉里物流,12.2624,2020-06-30,10.3000,0.0000,0.0000,0.0000,184.7807,184.7807,17.9399,17.9399
00639.HK,首钢资源,8.3683,2020-06-30,1.6200,1.8868,0.0000,0.0000,85.8898,85.8898,53.0184,53.0184
00656.HK,复星国际,10.8006,2020-06-30,9.8600,1.2320,0.0000,0.0000,838.3664,838.3664,85.0270,85.0270
00658.HK,中国高速传动,124.2449,2020-06-30,4.5000,0.2227,0.0000,0.0000,73.5881,73.5881,16.3529,16.3529
00659.HK,新创建集团,5.9686,2020-06-30,6.6900,1.9817,0.0000,0.0000,261.6551,261.6551,39.1114,39.1114
00665.HK,海通国际,24.2969,2020-06-30,1.8500,2.7778,0.0000,0.0000,111.6666,111.6666,60.3604,60.3604
00667.HK,中国东方教育,――,2020-06-30,14.0200,4.6269,0.0000,0.0000,307.3407,307.3407,21.9216,21.9216
00669.HK,创科实业,90.3901,2020-06-30,75.8000,-0.7853,0.0000,0.0000,"1,388.0120","1,388.0120",18.3115,18.3115
00670.HK,中国东方航空股份,16.6636,2020-06-30,2.7600,-0.3610,0.0000,0.0000,142.8791,452.0745,51.7678,163.7951
00683.HK,嘉里建设,2.1879,2020-06-30,20.0000,1.8330,0.0000,0.0000,291.3002,291.3002,14.5650,14.5650
00686.HK,熊猫绿能,-2.2866,2020-06-30,0.1350,0.7463,0.0000,0.0000,30.2777,30.2777,224.2795,224.2795
00687.HK,泰N集团,8.3521,2020-06-30,0.4150,1.2195,0.0000,0.0000,13.9690,13.9690,33.6604,33.6604
00688.HK,中国海外发展,11.0539,2020-06-30,23.4500,-0.7617,0.0000,0.0000,"2,569.1316","2,569.1316",109.5579,109.5579
00694.HK,北京首都机场股份,14.4930,2020-06-30,4.8500,0.2066,0.0000,0.0000,91.1492,222.0902,18.7936,45.7918
00696.HK,中国民航信息网络,29.5376,2020-06-30,13.6400,-5.5402,0.0000,0.0000,127.2015,399.1350,9.3256,29.2621
00697.HK,首程控股,-9.6278,2020-06-30,1.5300,0.0000,0.0000,0.0000,105.9613,105.9613,69.2558,69.2558
00698.HK,通达集团,8.1871,2020-06-30,0.4600,1.0989,0.0000,0.0000,29.8057,29.8057,64.7951,64.7951
00700.HK,腾讯控股,251.7396,2020-06-30,498.6000,2.5926,0.0000,0.0000,"47,642.0550","47,642.0550",95.5517,95.5517
00709.HK,佐丹奴国际,3.0458,2020-06-30,1.1700,1.7391,0.0000,0.0000,18.4638,18.4638,15.7810,15.7810
00728.HK,中国电信,9.8648,2020-06-30,2.1700,0.9302,0.0000,0.0000,301.1398,"1,756.2324",138.7741,809.3237
00732.HK,信利国际,1.8274,2020-06-30,0.8100,1.2500,0.0000,0.0000,26.6428,26.6428,32.8923,32.8923
00743.HK,亚洲水泥(中国),12.3488,2020-06-30,7.6000,0.6623,0.0000,0.0000,119.0807,119.0807,15.6685,15.6685
00751.HK,创维集团,6.2976,2020-06-30,2.1700,-1.3636,0.0000,0.0000,66.4222,66.4222,30.6093,30.6093
00753.HK,中国国航,18.6153,2020-06-30,4.6200,0.4348,0.0000,0.0000,210.7960,671.0465,45.6268,145.2482
00754.HK,合生创展集团,8.7349,2020-06-30,8.0600,0.7500,0.0000,0.0000,179.3802,179.3802,22.2556,22.2556
00762.HK,中国联通,14.7930,2020-06-30,4.1900,-0.2381,0.0000,0.0000,"1,282.0614","1,282.0614",305.9812,305.9812
00763.HK,中兴通讯,60.2463,2020-06-30,23.7000,1.2821,0.0000,0.0000,179.0541,"1,093.3841",7.5550,46.1343
00772.HK,阅文集团,――,2020-06-30,52.2000,0.5780,0.0000,0.0000,530.2381,530.2381,10.1578,10.1578
00777.HK,网龙,1.6534,2020-06-30,21.7500,-0.9112,0.0000,0.0000,122.6554,122.6554,5.6393,5.6393
00778.HK,置富产业信托,――,2020-06-30,6.9700,1.3081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00780.HK,同程艺龙,――,2020-06-30,13.9600,1.0130,0.0000,0.0000,299.1871,299.1871,21.4317,21.4317
00788.HK,中国铁塔,――,2020-06-30,1.3700,-2.1429,0.0000,0.0000,639.2948,"2,411.3161",466.6386,"1,760.0847"
00799.HK,IGG,214.7346,2020-06-30,6.3400,5.3156,0.0000,0.0000,78.3571,78.3571,12.3592,12.3592
00806.HK,惠理集团,17.4250,2020-06-30,3.9300,-1.2563,0.0000,0.0000,72.9048,72.9048,18.5508,18.5508
00808.HK,泓富产业信托,――,2020-06-30,2.3100,0.8734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
00813.HK,世茂集团,12.6090,2020-06-30,32.8000,-0.9063,0.0000,0.0000,"1,160.3648","1,160.3648",35.3770,35.3770
00816.HK,华电福新,11.0335,2020-06-30,2.4800,-0.4016,0.0000,0.0000,63.7415,208.5174,25.7022,84.0796
00817.HK,中国金茂,15.2646,2020-06-30,5.4500,0.5535,0.0000,0.0000,641.8991,641.8991,117.7796,117.7796
